公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300043,星辉娱乐,星辉互动娱乐股份有限公司,Rastar Group,广东省汕头市澄海区星辉工业园(上华镇夏岛路北侧),300043,星辉娱乐,2010-01-20,"1,244,198,401","823,869,704",,,,0,0,华南,广东,汕头市,I 信息技术,www.rastar.cn
300044,赛为智能,深圳市赛为智能股份有限公司,"Shenzhen Sunwin Intelligent Co.,Ltd.",广东省深圳市南山区高新区科技中二路软件园2号楼3楼,300044,赛为智能,2010-01-20,"399,706,811","240,001,954",,,,0,0,华南,广东,深圳市,I 信息技术,www.szsunwin.com
300045,华力创通,北京华力创通科技股份有限公司,"Hwa Create Co., Ltd.",北京市海淀区东北旺西路8号院中关村软件园乙18号楼创通科技大厦,300045,华力创通,2010-01-20,"576,191,387","358,362,951",,,,0,0,华北,北京,北京市,C 制造业,www.hwacreate.com.cn
300046,台基股份,湖北台基半导体股份有限公司,"TECH SEMICONDUCTORS CO., LTD.",湖北省襄阳市襄城区胜利街162号,300046,台基股份,2010-01-20,"142,080,000","142,080,000",,,,0,0,华中,湖北,襄阳市,C 制造业,www.tech-sem.com
300047,天源迪科,深圳天源迪科信息技术股份有限公司,"SHENZHEN TIANYUAN DIC INFORMATION TECHNOLOGY CO.,LTD.",广东省深圳市南山区粤海街道高新区南区市高新技术工业村T3栋B3楼,300047,天源迪科,2010-01-20,"399,737,270","272,474,008",,,,0,0,华南,广东,深圳市,I 信息技术,www.tydic.com
300048,合康新能,北京合康新能科技股份有限公司,"Hiconics Eco-energy Technology Co., Ltd.",北京市石景山区古城西街19号中小科技企业基地院内,300048,合康新能,2010-01-20,"1,102,201,357","971,561,138",,,,0,0,华北,北京,北京市,C 制造业,www.hiconics.com
300049,福瑞股份,内蒙古福瑞医疗科技股份有限公司,"Inner Mongolia Furui Medical Science Co.,Ltd.",内蒙古自治区乌兰察布盟集宁市解放路103号,300049,福瑞股份,2010-01-20,"263,053,100","227,858,722",,,,0,0,华北,内蒙古,乌兰察布市,C 制造业,www.fu-rui.com
300050,世纪鼎利,珠海世纪鼎利科技股份有限公司,"Dingli Corp., Ltd",广东省珠海市港湾大道科技五路8号一层,300050,世纪鼎利,2010-01-20,"560,861,718","332,804,523",,,,0,0,华南,广东,珠海市,I 信息技术,www.dingli.com
300051,三五互联,厦门三五互联科技股份有限公司,"Xiamen 35.com Technology Co., Ltd.",福建省厦门市火炬高新技术产业开发区软件园二期观日路8号一层,300051,三五互联,2010-02-11,"367,859,590","245,340,721",,,,0,0,华东,福建,厦门市,I 信息技术,www.35.com
300052,中青宝,深圳中青宝互动网络股份有限公司,"SHENZHEN ZQGAME CO., LTD",广东省深圳市福田区深南中路电子科技大厦C座43层A1,300052,中青宝,2010-02-11,"261,038,600","260,204,657",,,,0,0,华南,广东,深圳市,I 信息技术,www.zqgame.com.cn
300053,欧比特,珠海欧比特宇航科技股份有限公司,"Zhuhai Orbita Aerospace Science & Technology Co.,Ltd",广东省珠海市唐家东岸白沙路1号欧比特科技园,300053,欧比特,2010-02-11,"623,180,110","460,292,294",,,,0,0,华南,广东,珠海市,C 制造业,www.myorbita.net
300054,鼎龙股份,湖北鼎龙控股股份有限公司,"Hubei Dinglong CO.,Ltd.",湖北省武汉市经济技术开发区东荆河路1号,300054,鼎龙股份,2010-02-11,"961,124,002","664,985,606",,,,0,0,华中,湖北,武汉市,C 制造业,www.dinglongchem.com
